dataset,unit_id,regime_id,predeclared_mechanism,mechanism_status,activation_measure,static_selected_policy,dynamic_selected_policy,winner_agreement,dynamic_regret,within_material_tolerance,execution_agreement,best_simple_policy_cost,best_advanced_policy_cost,attainable_improvement,simple_policy_improvement_recovered,counterexample_flag,evidence_source
M5,FOODS_3_090__WI_3,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,22044.644900061678,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_099__TX_2,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,992.6075832272937,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_120__CA_1,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_rate_limited,accuracy_first,0,0.0,True,True,12396.117124794704,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_120__CA_3,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,operationally_weighted_ensemble,operationally_weighted_ensemble,1,0.0,True,True,37327.894909573995,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_120__WI_3,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,29615.304065112447,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_202__CA_3,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,7943.772864941143,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_202__TX_1,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,7792.780144093412,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_202__TX_2,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,accuracy_first,accuracy_first,1,0.0,True,True,6888.013311942995,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_202__TX_3,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,1708.6088884034198,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_226__WI_1,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,operationally_weighted_ensemble,operationally_weighted_ensemble,1,0.0,True,True,3554.3098775268913,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_226__WI_2,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,operationally_weighted_ensemble,operationally_weighted_ensemble,1,0.0,True,True,2354.4086246761044,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_226__WI_3,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,accuracy_first,accuracy_first,1,0.0,True,True,1236.107666427568,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_234__CA_3,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,6581.563967600188,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_234__WI_2,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,accuracy_first,0,11.209988435776722,True,True,5403.846201276032,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_234__WI_3,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,9938.677592704,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__CA_1,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,4128.535505779755,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__CA_2,strict_frozen,ensemble_rate_cap,active,target_changed,simple_ensemble_rate_limited,operationally_weighted_ensemble,0,0.0,True,True,5432.337782986941,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__CA_3,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,operationally_weighted_ensemble,operationally_weighted_ensemble,1,0.0,True,True,4125.095695437974,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__TX_1,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,8460.720310636378,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__TX_2,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,operationally_weighted_ensemble,operationally_weighted_ensemble,1,0.0,True,True,6586.507072576981,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__TX_3,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,4772.668611438376,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_252__WI_3,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_first,accuracy_first,1,0.0,True,True,3128.0492437574544,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_281__CA_3,strict_frozen,ensemble_rate_cap,active,target_changed,accuracy_rate_limited,accuracy_first,0,0.0,True,True,9138.23238707986,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
M5,FOODS_3_282__CA_3,strict_frozen,ensemble_rate_cap,inactive,target_unchanged,accuracy_first,accuracy_first,1,0.0,True,True,6158.976287296447,,,,False,results/working/static_dynamic_ranking_diagnostics.csv;results/working/rate_limiter_mechanism_audit.csv
