dataset,scenario_id,planning_unit,selected_budget_K,budget_rule,unconstrained_dp_switch_count,budgeted_dp_switch_count,switch_reduction,expected_nonbinding,expected_binding,unconstrained_path_exceedance,classification_basis,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,model_path_agreement,executed_plan_agreement,switch_count_agreement,unrounded_cost_agreement,operational_outcomes_agreement,dynamic_cost_difference,governance_cost_difference,unrounded_cost_difference,structural_equivalence,tie_flag,beam_width,state_rounding_rule,candidate_ordering,tie_breaking,implementation_branch_difference,numerical_tolerance,total_holding_cost_difference,total_shortage_cost_difference,total_order_change_cost_difference,total_expedite_cost_difference,total_switching_cost_difference,fill_rate_difference,average_on_hand_inventory_difference,ending_backlog_difference,total_lost_sales_difference,execution_violation_units_difference,planning_execution_gap_rate_difference,plan_volatility_difference,disagreement_diagnostic,n_expected_binding_units,n_total_units,expected_binding_rate,mean_effect_when_expected_binding,n_binding_units,activation_rate,mean_effect_when_binding
M5,frozen_horizon,FOODS_3_080__CA_1,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_080__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__CA_1,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__CA_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__CA_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-4244.02762317811,-0.5,-4244.02762317811,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-59.652189674797455,-4189.870746003313,5.995312500000001,0.0,-0.5,0.1788657608731341,-2.1304353455284755,0.0,0.0,-1182.5990075086524,-0.1428571428571429,119.90625000000006,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__CA_4,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__TX_1,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-4120.270185815642,-0.5,-4120.270185815642,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,72.86021784667696,-4194.691697700468,2.061294038148704,0.0,-0.5,0.30306356770213516,2.6021506373813246,0.0,0.0,-1025.122629377468,-0.25,41.22588076297416,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__TX_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_090__WI_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
