dataset,grain,transfer_regime,unit_slice,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag,activation_frequency,dynamic_cost_plain,dynamic_cost_limited,dynamic_cost_difference,PEG_plain,PEG_limited,PEG_difference,volatility_plain,volatility_limited,volatility_difference,fill_rate_plain,fill_rate_limited,fill_rate_difference,backlog_plain,backlog_limited,backlog_difference
M5,category_store,family_frozen_parameter_recalibrated,all_units,False,False,False,True,1.0,0,11,0.0,,0.0,True,True,0.0,27565.16907696533,27565.16907696533,0.0,0.6818181818181818,0.6818181818181818,0.0,1247.3907957611295,1247.3907957611295,0.0,0.45610984470777394,0.45610984470777394,0.0,179.6279534797486,179.6279534797486,0.0
M5,category_store,family_frozen_parameter_recalibrated,nonbinding_units,False,False,False,True,1.0,0,11,0.0,,0.0,True,True,0.0,27565.16907696533,27565.16907696533,0.0,0.6818181818181818,0.6818181818181818,0.0,1247.3907957611295,1247.3907957611295,0.0,0.45610984470777394,0.45610984470777394,0.0,179.6279534797486,179.6279534797486,0.0
M5,category_store,fully_in_domain_tuned,all_units,False,False,False,True,1.0,0,11,0.0,,0.0,True,True,0.0,27565.16907696533,27565.16907696533,0.0,0.6818181818181818,0.6818181818181818,0.0,1247.3907957611295,1247.3907957611295,0.0,0.45610984470777394,0.45610984470777394,0.0,179.6279534797486,179.6279534797486,0.0
M5,category_store,fully_in_domain_tuned,nonbinding_units,False,False,False,True,1.0,0,11,0.0,,0.0,True,True,0.0,27565.16907696533,27565.16907696533,0.0,0.6818181818181818,0.6818181818181818,0.0,1247.3907957611295,1247.3907957611295,0.0,0.45610984470777394,0.45610984470777394,0.0,179.6279534797486,179.6279534797486,0.0
M5,category_store,strict_frozen,all_units,True,True,False,True,1.0,1,11,0.09090909090909091,0.0,0.0,True,True,0.012987012987012986,27565.16907696533,27565.16907696533,0.0,0.6818181818181818,0.6818181818181818,0.0,1247.3907957611295,1247.3907957611295,0.0,0.45610984470777394,0.45610984470777394,0.0,179.6279534797486,179.6279534797486,0.0
M5,category_store,strict_frozen,binding_units,True,True,False,True,1.0,1,11,0.09090909090909091,0.0,0.0,True,True,0.14285714285714285,9805.115258107515,9805.115258107515,0.0,0.8214285714285714,0.8214285714285714,0.0,66.171875,66.171875,0.0,0.2496342187743664,0.2496342187743664,0.0,7.894081050481645,7.894081050481645,0.0
M5,category_store,strict_frozen,nonbinding_units,False,False,False,True,1.0,1,11,0.09090909090909091,0.0,0.0,True,True,0.0,29341.174458851114,29341.174458851114,0.0,0.6678571428571429,0.6678571428571429,0.0,1365.5126878372425,1365.5126878372425,0.0,0.4767574073011146,0.4767574073011146,0.0,196.8013407226753,196.8013407226753,0.0
M5,department_store,family_frozen_parameter_recalibrated,all_units,True,True,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.011160714285714284,21618.435350975764,21618.435350975764,0.0,0.7299107142857143,0.7299107142857143,0.0,878.8224152912395,878.8224152912395,0.0,0.37391166062850306,0.37391166062850306,0.0,154.58558221295598,154.58558221295598,0.0
M5,department_store,family_frozen_parameter_recalibrated,binding_units,True,True,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.08928571428571427,9195.869060649442,9195.869060649442,0.0,0.875,0.875,0.0,30.21575049623555,30.21575049623555,0.0,0.14238967201112715,0.14238967201112715,0.0,131.39268884403313,131.39268884403313,0.0
M5,department_store,family_frozen_parameter_recalibrated,nonbinding_units,False,False,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.0,23393.087678165237,23393.087678165237,0.0,0.7091836734693878,0.7091836734693878,0.0,1000.0519388333829,1000.0519388333829,0.0,0.40698623043098536,0.40698623043098536,0.0,157.8988526942307,157.8988526942307,0.0
