regime,beam_width,rounding_multiplier,planning_units,mean_baseline_cost,mean_approximate_dp_cost,mean_relative_cost_change_pct,median_relative_cost_change_pct,favorable_share,aggregate_cost_change_pct
long_lead,48,0.05,100,9271.103451726654,6467.71359782898,-28.35549900767231,-29.619104037488395,0.82,-30.23793088378892
long_lead,48,0.1,100,9271.103451726654,6465.39127138919,-28.33719293095034,-30.09621595219023,0.81,-30.262979967232784
long_lead,48,0.2,100,9271.103451726654,6408.160767933562,-28.832234085329898,-30.539902244375533,0.82,-30.88027977144292
long_lead,96,0.05,100,9271.103451726654,6471.035462178305,-28.508224657349327,-30.061682611957664,0.81,-30.202100581963233
long_lead,96,0.1,100,9271.103451726654,6497.549731003191,-28.01924856212284,-29.36227439493509,0.8,-29.916112307072964
long_lead,96,0.2,100,9271.103451726654,6508.200231156232,-27.880801452035353,-29.36084348950267,0.8,-29.801233854810004
long_lead,192,0.05,100,9271.103451726654,6488.046928127773,-28.404187965036463,-28.563812396715036,0.82,-30.0186114639953
long_lead,192,0.1,100,9271.103451726654,6513.346605114648,-28.326074779351725,-29.929336039241946,0.82,-29.745724022725692
long_lead,192,0.2,100,9271.103451726654,6563.705011044559,-28.150515400853394,-29.69938871947673,0.82,-29.20254805459935
tight_capacity,48,0.05,100,12108.085435009318,13047.775234473003,12.321523992614141,5.382684138570619,0.23,7.760845465680863
tight_capacity,48,0.1,100,12108.085435009318,13033.077378223936,12.175310992634932,4.487302678473517,0.23,7.6394566934595325
tight_capacity,48,0.2,100,12108.085435009318,13032.435706205755,11.843989953585435,5.316236397045079,0.22,7.634157160171427
tight_capacity,96,0.05,100,12108.085435009318,13032.36057649149,11.560882796184847,3.2594253280255137,0.27,7.633536668065814
tight_capacity,96,0.1,100,12108.085435009318,13028.990231038135,11.982602549082248,2.947350409667108,0.24,7.605701173582018
tight_capacity,96,0.2,100,12108.085435009318,13100.598286001152,12.521133594760517,3.5227599976523285,0.24,8.197108092102509
tight_capacity,192,0.05,100,12108.085435009318,12903.618737423909,9.887815488833144,2.377886804642453,0.28,6.570265024017639
tight_capacity,192,0.1,100,12108.085435009318,12907.194314653303,10.519811022091833,2.377886804642453,0.26,6.5997955162543045
tight_capacity,192,0.2,100,12108.085435009318,13020.003917767377,11.924692143032528,2.947350409667108,0.25,7.531483715182074
