scenario_id,strategy,WAPE,MASE,total_dynamic_cost,fill_rate,planning_execution_gap_rate,plan_volatility,switch_count
L0_B10_flexible,accuracy_first,0.11559139189390702,0.5124339092535392,43663.18729290626,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B10_flexible,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,43663.18729290626,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B10_flexible,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,44502.93343913804,0.9799428707840692,0.006785714285714285,37375.40757827545,0.0
L0_B10_flexible,feasibility_aware,0.11588284104768151,0.5126085635723481,44968.765370794616,0.9778572263199128,0.007142857142857142,38158.76186109274,6.37
L0_B10_flexible,accuracy_smoothed,0.11559139189390702,0.5124339092535392,45272.93043817896,0.9795708292941108,0.006785714285714285,35591.06835404937,0.0
L0_B10_flexible,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,50492.41814112152,0.9757390107812772,0.006428571428571428,36895.085788065706,0.0
L0_B10_flexible,simple_ensemble,0.13320371645847104,0.5703987556060911,50495.74586529972,0.9757390107812772,0.006428571428571428,36897.29507880145,0.0
L0_B10_flexible,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,65877.69884606864,0.9666851098576396,0.01107142857142857,49779.13061165973,0.0
L0_B10_moderate,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,231314.6879206745,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B10_moderate,simple_ensemble,0.13320371645847104,0.5703987556060911,231316.4241067453,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B10_moderate,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,255751.90367434497,0.8266813773142594,0.45321428571428585,25079.94391818879,0.0
L0_B10_moderate,accuracy_smoothed,0.11559139189390702,0.5124339092535392,256276.09714022448,0.829325562643967,0.4092857142857143,22975.047306937548,0.0
L0_B10_moderate,accuracy_first,0.11559139189390702,0.5124339092535392,275749.39003220625,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B10_moderate,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,275749.39003220625,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B10_moderate,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,275904.6900072495,0.8181145462032052,0.4157142857142857,23675.54336419984,0.0
L0_B10_moderate,feasibility_aware,0.11588284104768151,0.5126085635723481,276717.4512556174,0.815823362993817,0.4207142857142858,23851.756754178965,6.37
L0_B10_tight,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,3772009.3802374904,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B10_tight,accuracy_first,0.11559139189390702,0.5124339092535392,3772052.915115377,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B10_tight,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,3772052.915115377,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B10_tight,feasibility_aware,0.11588284104768151,0.5126085635723481,3775426.55848267,0.17355908427932168,0.888571428571428,3354.674591356645,6.37
L0_B10_tight,accuracy_smoothed,0.11559139189390702,0.5124339092535392,3792992.9520084667,0.17130998733889954,0.8874999999999994,3377.6013099188344,0.0
L0_B10_tight,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,3803439.998335064,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B10_tight,simple_ensemble,0.13320371645847104,0.5703987556060911,3803441.8826284916,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B10_tight,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,3914475.0051507787,0.16285761753820274,0.8796428571428568,3517.2827670557767,0.0
L0_B2_flexible,feasibility_aware,0.11588284104768151,0.5126085635723481,25675.285292937835,0.9778572263199128,0.007142857142857142,38158.76186109274,6.37
L0_B2_flexible,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,27210.356235844163,0.9799428707840692,0.006785714285714285,37375.40757827545,0.0
L0_B2_flexible,accuracy_first,0.11559139189390702,0.5124339092535392,27294.43111482434,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B2_flexible,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,27294.43111482434,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B2_flexible,accuracy_smoothed,0.11559139189390702,0.5124339092535392,27697.705152819504,0.9795708292941108,0.006785714285714285,35591.06835404937,0.0
L0_B2_flexible,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,28961.10477465963,0.9757390107812772,0.006428571428571428,36895.085788065706,0.0
L0_B2_flexible,simple_ensemble,0.13320371645847104,0.5703987556060911,28964.432498837832,0.9757390107812772,0.006428571428571428,36897.29507880145,0.0
L0_B2_flexible,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,33857.42872945062,0.9666851098576396,0.01107142857142857,49779.13061165973,0.0
L0_B2_moderate,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,63193.38961313664,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B2_moderate,simple_ensemble,0.13320371645847104,0.5703987556060911,63195.12579920745,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B2_moderate,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,66658.77602584835,0.8266813773142594,0.45321428571428585,25079.94391818879,0.0
L0_B2_moderate,accuracy_smoothed,0.11559139189390702,0.5124339092535392,67806.51644501447,0.829325562643967,0.4092857142857143,22975.047306937548,0.0
L0_B2_moderate,feasibility_aware,0.11588284104768151,0.5126085635723481,69878.38833893415,0.815823362993817,0.4207142857142858,23851.756754178965,6.37
L0_B2_moderate,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,71207.35382237023,0.8181145462032052,0.4157142857142857,23675.54336419984,0.0
L0_B2_moderate,accuracy_first,0.11559139189390702,0.5124339092535392,71247.41966401224,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B2_moderate,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,71247.41966401224,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B2_tight,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,793689.5709515719,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B2_tight,accuracy_first,0.11559139189390702,0.5124339092535392,793733.1058294588,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B2_tight,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,793733.1058294588,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B2_tight,feasibility_aware,0.11588284104768151,0.5126085635723481,794212.6683576257,0.17355908427932168,0.888571428571428,3354.674591356645,6.37
L0_B2_tight,accuracy_smoothed,0.11559139189390702,0.5124339092535392,798065.2251050068,0.17130998733889954,0.8874999999999994,3377.6013099188344,0.0
L0_B2_tight,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,800201.3894592401,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B2_tight,simple_ensemble,0.13320371645847104,0.5703987556060911,800203.273752668,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B2_tight,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,823259.5064477883,0.16285761753820274,0.8796428571428568,3517.2827670557767,0.0
L0_B5_flexible,feasibility_aware,0.11588284104768151,0.5126085635723481,32910.34032213413,0.9778572263199128,0.007142857142857142,38158.76186109274,6.37
L0_B5_flexible,accuracy_first,0.11559139189390702,0.5124339092535392,33432.71468160505,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B5_flexible,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,33432.71468160505,0.9807747445662467,0.007142857142857142,38156.47990262117,0.0
L0_B5_flexible,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,33695.072687079344,0.9799428707840692,0.006785714285714285,37375.40757827545,0.0
L0_B5_flexible,accuracy_smoothed,0.11559139189390702,0.5124339092535392,34288.41463482931,0.9795708292941108,0.006785714285714285,35591.06835404937,0.0
L0_B5_flexible,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,37035.347287082834,0.9757390107812772,0.006428571428571428,36895.085788065706,0.0
L0_B5_flexible,simple_ensemble,0.13320371645847104,0.5703987556060911,37038.67501126103,0.9757390107812772,0.006428571428571428,36897.29507880145,0.0
L0_B5_flexible,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,45865.030023182386,0.9666851098576396,0.01107142857142857,49779.13061165973,0.0
L0_B5_moderate,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,126238.87647846334,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B5_moderate,simple_ensemble,0.13320371645847104,0.5703987556060911,126240.61266453416,0.8431538639879024,0.38642857142857145,22937.446533198956,0.0
L0_B5_moderate,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,137568.6988940346,0.8266813773142594,0.45321428571428585,25079.94391818879,0.0
L0_B5_moderate,accuracy_smoothed,0.11559139189390702,0.5124339092535392,138482.6092057182,0.829325562643967,0.4092857142857143,22975.047306937548,0.0
L0_B5_moderate,feasibility_aware,0.11588284104768151,0.5126085635723481,147443.03693269036,0.815823362993817,0.4207142857142858,23851.756754178965,6.37
L0_B5_moderate,accuracy_first,0.11559139189390702,0.5124339092535392,147935.65855208502,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B5_moderate,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,147935.65855208502,0.8184045481407982,0.4203571428571429,23792.36728458047,0.0
L0_B5_moderate,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,147968.8548917,0.8181145462032052,0.4157142857142857,23675.54336419984,0.0
L0_B5_tight,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,1910559.4994337913,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B5_tight,accuracy_first,0.11559139189390702,0.5124339092535392,1910603.034311678,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B5_tight,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,1910603.034311678,0.174208545256507,0.888571428571428,3350.7890056584743,0.0
L0_B5_tight,feasibility_aware,0.11588284104768151,0.5126085635723481,1912167.8771545172,0.17355908427932168,0.888571428571428,3354.674591356645,6.37
L0_B5_tight,accuracy_smoothed,0.11559139189390702,0.5124339092535392,1921163.122693805,0.17130998733889954,0.8874999999999994,3377.6013099188344,0.0
L0_B5_tight,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,1926415.8677876743,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B5_tight,simple_ensemble,0.13320371645847104,0.5703987556060911,1926417.7520811018,0.16895706811208563,0.8857142857142851,3390.000365603845,0.0
L0_B5_tight,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,1982465.31846141,0.16285761753820274,0.8796428571428568,3517.2827670557767,0.0
L2_B10_flexible,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,158194.2657863009,0.9360870046031424,0.029285714285714293,58877.98246862078,0.0
L2_B10_flexible,simple_ensemble,0.13320371645847104,0.5703987556060911,158199.9186665845,0.9360870046031424,0.029285714285714293,58877.98246862078,0.0
L2_B10_flexible,accuracy_smoothed,0.11559139189390702,0.5124339092535392,177926.6191886628,0.9242649333124998,0.045357142857142846,65276.95808664837,0.0
L2_B10_flexible,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,179382.45602821402,0.9241483523094213,0.06464285714285711,81434.56791989469,0.0
L2_B10_flexible,accuracy_first,0.11559139189390702,0.5124339092535392,179561.3328720262,0.9243792177939256,0.07464285714285711,82143.86384583318,0.0
L2_B10_flexible,accuracy_order_up_to,0.11559139189390702,0.5124339092535392,179561.3328720262,0.9243792177939256,0.07464285714285711,82143.86384583318,0.0
L2_B10_flexible,feasibility_aware,0.11588284104768151,0.5126085635723481,186952.97913448754,0.9142459961324626,0.06928571428571426,80622.03675516468,6.37
L2_B10_flexible,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,222253.10551949765,0.8951592684533399,0.13035714285714278,81302.2537731607,0.0
L2_B10_moderate,simple_ensemble_rate_limited,0.13320371645847104,0.5703987556060911,387435.5805432016,0.7726580758251855,0.5617857142857142,26548.482315483547,0.0
L2_B10_moderate,simple_ensemble,0.13320371645847104,0.5703987556060911,387441.2334234852,0.7726580758251855,0.5617857142857142,26548.482315483547,0.0
L2_B10_moderate,accuracy_frozen_horizon,0.11559139189390702,0.5124339092535392,505753.358845921,0.6983500205239176,0.5821428571428572,25615.36546866653,0.0
L2_B10_moderate,accuracy_smoothed,0.11559139189390702,0.5124339092535392,513057.35223204375,0.7112973045569904,0.6021428571428572,25013.07151941083,0.0
L2_B10_moderate,accuracy_rate_limited,0.11559139189390702,0.5124339092535392,516709.27589231334,0.7024194591021591,0.617142857142857,26029.654155474378,0.0
L2_B10_moderate,accuracy_first,0.11559139189390702,0.5124339092535392,516841.22993052116,0.7024129461122651,0.616785714285714,26023.581741009355,0.0
