case,dataset,unit_id,mechanism,level,strength,simple_cost,advanced_cost,paired_difference,execution_path_difference,source
weak,M5,FOODS_3_007__WI_2,switching_cost,low,0.0,52704.6125,52704.6125,0.0,False,scripts/run_targeted_north_star_analyses.py minimal frozen sweep
active,Walmart,store_039__dept_095,lead_time,high,7.0,7014218.04990436,4096559.3283924717,-2917658.7215118874,True,scripts/run_targeted_north_star_analyses.py minimal frozen sweep
