dataset,grain,planning_unit,transfer_regime,strategy_rank_correlation,winner_agreement,static_winner,dynamic_winner,dynamic_regret_of_static_winner
M5,item_store,FOODS_3_377__TX_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_412__WI_2,strict_frozen,0.10050378152592121,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_462__WI_2,strict_frozen,0.9045340337332909,0,accuracy_rate_limited,accuracy_first,0.0
M5,item_store,FOODS_3_501__CA_3,strict_frozen,-0.3015113445777636,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_541__CA_1,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_541__CA_3,strict_frozen,-0.9486832980505139,0,accuracy_first,operationally_weighted_ensemble,870.0914059703578
M5,item_store,FOODS_3_547__WI_2,strict_frozen,0.31782086308186414,1,simple_ensemble_rate_limited,simple_ensemble_rate_limited,0.0
M5,item_store,FOODS_3_555__CA_1,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_555__CA_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_555__TX_1,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_555__TX_2,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_555__TX_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_555__WI_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_586__CA_1,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_586__CA_2,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_586__CA_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_586__TX_1,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_586__TX_2,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_586__TX_3,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_586__WI_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_587__CA_1,strict_frozen,-1.0,0,accuracy_first,operationally_weighted_ensemble,355.8645806483089
M5,item_store,FOODS_3_587__CA_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_587__TX_1,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_587__TX_2,strict_frozen,-1.0,0,operationally_weighted_ensemble,accuracy_first,11.056144128576307
M5,item_store,FOODS_3_587__TX_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_587__WI_3,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_607__CA_3,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_635__CA_3,strict_frozen,-0.9486832980505139,0,accuracy_first,operationally_weighted_ensemble,215.36463009656063
M5,item_store,FOODS_3_681__CA_3,strict_frozen,0.9486832980505139,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_681__WI_3,strict_frozen,0.9486832980505139,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_694__CA_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_694__WI_1,strict_frozen,-1.0,0,operationally_weighted_ensemble,accuracy_first,264.6197817162915
M5,item_store,FOODS_3_694__WI_2,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_694__WI_3,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_711__CA_3,strict_frozen,-0.5151515151515151,0,simple_ensemble_rate_limited,accuracy_first,93.57814592893624
M5,item_store,FOODS_3_711__WI_2,strict_frozen,-0.6363636363636362,0,accuracy_rate_limited,operationally_weighted_ensemble,39.900806747653405
M5,item_store,FOODS_3_714__CA_1,strict_frozen,0.9045340337332909,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_714__CA_3,strict_frozen,0.9486832980505139,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_714__TX_1,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_714__TX_2,strict_frozen,0.9486832980505139,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_714__TX_3,strict_frozen,0.9486832980505139,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_714__WI_3,strict_frozen,0.6000000000000001,0,simple_ensemble_rate_limited,accuracy_first,206.68973303409575
M5,item_store,FOODS_3_723__CA_3,strict_frozen,0.9045340337332909,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_723__WI_3,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
M5,item_store,FOODS_3_752__CA_3,strict_frozen,0.9045340337332909,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,FOODS_3_804__CA_3,strict_frozen,0.9534625892455922,0,accuracy_rate_limited,accuracy_first,0.0
M5,item_store,FOODS_3_808__CA_1,strict_frozen,0.9045340337332909,0,accuracy_rate_limited,accuracy_first,0.0
M5,item_store,FOODS_3_808__CA_3,strict_frozen,-0.9045340337332909,0,accuracy_rate_limited,operationally_weighted_ensemble,753.3323062898758
M5,item_store,HOUSEHOLD_1_118__CA_3,strict_frozen,0.7627700713964739,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,9.0371984978392
M5,item_store,HOUSEHOLD_1_334__CA_3,strict_frozen,0.9045340337332909,0,simple_ensemble_rate_limited,operationally_weighted_ensemble,0.0
M5,item_store,HOUSEHOLD_1_459__CA_3,strict_frozen,-1.0,0,operationally_weighted_ensemble,accuracy_first,271.0268788918638
Walmart,department_store,store_001__dept_038,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_001__dept_090,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_001__dept_092,strict_frozen,0.8000000000000002,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_001__dept_095,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_001__dept_098,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_002__dept_038,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_002__dept_090,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_002__dept_091,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_002__dept_092,strict_frozen,-0.8000000000000002,0,accuracy_first,simple_ensemble,17156.300163408276
Walmart,department_store,store_002__dept_095,strict_frozen,-0.8000000000000002,0,accuracy_first,operationally_weighted_ensemble,55394.975627809064
Walmart,department_store,store_003__dept_014,strict_frozen,-0.9486832980505139,0,operationally_weighted_ensemble,accuracy_first,1789.09407413398
Walmart,department_store,store_003__dept_038,strict_frozen,-0.8000000000000002,0,simple_ensemble,accuracy_first,12662.943448813749
Walmart,department_store,store_004__dept_002,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_004__dept_038,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_004__dept_072,strict_frozen,-0.8000000000000002,0,accuracy_first,operationally_weighted_ensemble,72527.73878438771
Walmart,department_store,store_004__dept_090,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_004__dept_092,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_004__dept_095,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_006__dept_016,strict_frozen,-1.0,0,simple_ensemble,accuracy_first,68728.01187602413
Walmart,department_store,store_006__dept_038,strict_frozen,0.8000000000000002,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_006__dept_072,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_006__dept_092,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_006__dept_095,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_009__dept_003,strict_frozen,0.8911327886790069,0,accuracy_rate_limited,accuracy_first,0.0
Walmart,department_store,store_009__dept_005,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_009__dept_033,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_009__dept_038,strict_frozen,-0.8000000000000002,0,simple_ensemble,accuracy_first,153439.8491219657
Walmart,department_store,store_010__dept_002,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_010__dept_008,strict_frozen,0.9486832980505139,0,operationally_weighted_ensemble,simple_ensemble,1.1641532182693481e-10
Walmart,department_store,store_010__dept_038,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_010__dept_040,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_010__dept_072,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_013__dept_038,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_013__dept_090,strict_frozen,-1.0,0,operationally_weighted_ensemble,accuracy_first,70407.47194894147
Walmart,department_store,store_013__dept_091,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_013__dept_092,strict_frozen,0.9486832980505139,0,operationally_weighted_ensemble,simple_ensemble,6.984919309616089e-10
Walmart,department_store,store_013__dept_095,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,4.656612873077393e-10
Walmart,department_store,store_014__dept_002,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_014__dept_038,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_014__dept_046,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_014__dept_072,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_014__dept_090,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_014__dept_091,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,2.9103830456733704e-10
Walmart,department_store,store_014__dept_092,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_014__dept_095,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,4.656612873077393e-10
Walmart,department_store,store_015__dept_026,strict_frozen,-1.0,0,operationally_weighted_ensemble,accuracy_first,10397.432621748361
Walmart,department_store,store_016__dept_096,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,3.183231456205249e-12
Walmart,department_store,store_019__dept_092,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_019__dept_095,strict_frozen,0.8000000000000002,0,simple_ensemble,operationally_weighted_ensemble,2.3283064365386963e-10
Walmart,department_store,store_020__dept_038,strict_frozen,-0.8000000000000002,0,accuracy_first,simple_ensemble,40032.63141536608
Walmart,department_store,store_020__dept_040,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_020__dept_072,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_020__dept_083,strict_frozen,-0.8000000000000002,0,operationally_weighted_ensemble,accuracy_first,544.2523406238979
Walmart,department_store,store_020__dept_090,strict_frozen,0.8000000000000002,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_020__dept_092,strict_frozen,0.8000000000000002,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_020__dept_095,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_022__dept_059,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_023__dept_032,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_023__dept_072,strict_frozen,-0.9486832980505139,0,operationally_weighted_ensemble,accuracy_first,566444.8094939678
Walmart,department_store,store_024__dept_018,strict_frozen,-0.5151515151515151,0,simple_ensemble_rate_limited,accuracy_first,26354.994837957085
Walmart,department_store,store_024__dept_040,strict_frozen,0.8000000000000002,0,simple_ensemble,operationally_weighted_ensemble,2.9103830456733704e-11
