dataset,comparison,scenario_id,treatment,comparator,block_length,observed_mean_paired_cost_difference,ci_lower_95,ci_upper_95,repetitions,planning_units
Walmart,dp_vs_ensemble_rl,frozen_horizon,dp,simple_ensemble_rate_limited,8,-149876.16437623117,-268171.19950151205,-57309.411432191555,1000,100
Walmart,dp_vs_ensemble_rl,frozen_horizon,dp,simple_ensemble_rate_limited,13,-149876.16437623117,-255030.51759891715,-58237.435622719764,1000,100
Walmart,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,4,4812.9414235466365,-3243.192621067358,15373.663820186097,1000,100
Walmart,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,8,4812.9414235466365,-2570.4040168206398,15357.611129811983,1000,100
Walmart,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,13,4812.9414235466365,-2320.8808643226653,13688.657690944776,1000,100
Walmart,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,4,-281693.95598481933,-432097.13766686775,-160988.5324763915,1000,100
Walmart,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,8,-281693.95598481933,-438337.41704402876,-155072.38191147064,1000,100
Walmart,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,13,-281693.95598481933,-418646.0304017629,-160608.85637908944,1000,100
Walmart,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,4,33274.72189987156,9165.366135619708,57201.47549140824,1000,100
Walmart,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,8,33274.72189987156,11439.732765822313,57903.70971339349,1000,100
Walmart,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,13,33274.72189987156,13938.502705088213,54898.45464128928,1000,100
Walmart,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,4,-281693.95598481933,-432097.13766686775,-160988.5324763915,1000,100
Walmart,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,8,-281693.95598481933,-438337.41704402876,-155072.38191147064,1000,100
Walmart,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,13,-281693.95598481933,-418646.0304017629,-160608.85637908944,1000,100
Walmart,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,4,-843.4470957931647,-11561.773000991952,8172.153297305403,1000,100
