dataset,grain,planning_unit,transfer_regime,strategy,WAPE,intermittency,total_holding_cost,total_shortage_cost,total_order_change_cost,total_expedite_cost,total_switching_cost,total_dynamic_cost,fill_rate,average_on_hand_inventory,ending_backlog,total_lost_sales,execution_violation_units,planning_execution_gap_rate,plan_volatility,switch_count,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag
M5,item_store,FOODS_1_218__TX_2,strict_frozen,accuracy_first,0.4058500981637069,low,116.67945439600872,4560.303449592948,1.1535714285714285,0.0,0.0,4678.136475417528,0.1519000077338243,4.167123371286025,28.26386965992633,0.0,1025.6148178041344,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_1_218__TX_2,strict_frozen,accuracy_rate_limited,0.4058500981637069,low,116.67945439600872,4560.303449592948,1.1535714285714285,0.0,0.0,4678.136475417528,0.1519000077338243,4.167123371286025,28.26386965992633,0.0,1025.6148178041344,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_1_218__TX_2,strict_frozen,simple_ensemble,0.3000963290966581,low,116.45629482832678,4566.998236623406,1.1535714285714285,0.0,0.0,4684.608102880304,0.1517504369780053,4.159153386725956,28.31965955184681,0.0,1025.8537951318365,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_1_218__TX_2,strict_frozen,simple_ensemble_rate_limited,0.3000963290966581,low,116.45629482832678,4566.998236623406,1.1535714285714285,0.0,0.0,4684.608102880304,0.1517504369780053,4.159153386725956,28.31965955184681,0.0,1016.4285718084368,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_1_218__TX_2,strict_frozen,best_single_model_rate_limited,0.4058500981637069,low,116.67945439600872,4560.303449592948,1.1535714285714285,0.0,0.0,4678.136475417528,0.1519000077338243,4.167123371286025,28.26386965992633,0.0,1025.6148178041344,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_1_218__TX_2,strict_frozen,operationally_weighted_ensemble,0.3000963290966581,low,116.45629482832678,4566.998236623406,1.1535714285714285,0.0,0.0,4684.608102880304,0.1517504369780053,4.159153386725956,28.31965955184681,0.0,1025.8537951318365,0.8928571428571429,23.071428571428573,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,accuracy_first,0.4347706276772394,low,25.8370993294321,7822.564323088191,2.4156661062596543,0.0,0.0,7850.8170885238815,0.1803461599585214,0.9227535474797178,85.00321248306776,0.0,1728.4886734975312,0.8571428571428571,48.31332212519308,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,accuracy_rate_limited,0.4347706276772394,low,25.8370993294321,7822.564323088191,2.4156661062596543,0.0,0.0,7850.8170885238815,0.1803461599585214,0.9227535474797178,85.00321248306776,0.0,1728.4886734975312,0.8571428571428571,48.31332212519308,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,simple_ensemble,0.386775125698663,low,49.53354676682741,7614.522869601928,2.075146478194984,0.0,0.0,7666.131562846951,0.1813285725912354,1.7690552416724077,82.52482668384957,0.0,1609.577795806964,0.8571428571428571,41.50292956389968,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,simple_ensemble_rate_limited,0.386775125698663,low,49.53354676682741,7614.522869601928,2.075146478194984,0.0,0.0,7666.131562846951,0.1813285725912354,1.7690552416724077,82.52482668384957,0.0,1588.3074309389597,0.8571428571428571,41.50292956389968,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,best_single_model_rate_limited,0.4347706276772394,low,25.8370993294321,7822.564323088191,2.4156661062596543,0.0,0.0,7850.8170885238815,0.1803461599585214,0.9227535474797178,85.00321248306776,0.0,1728.4886734975312,0.8571428571428571,48.31332212519308,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_2_197__CA_1,strict_frozen,operationally_weighted_ensemble,0.386775125698663,low,49.53354676682741,7614.522869601928,2.075146478194984,0.0,0.0,7666.131562846951,0.1813285725912354,1.7690552416724077,82.52482668384957,0.0,1609.577795806964,0.8571428571428571,41.50292956389968,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
