dataset,grain,transfer_regime,mechanism,treatment,comparator,total_dynamic_cost_difference,planning_execution_gap_rate_difference,plan_volatility_difference,fill_rate_difference,ending_backlog_difference
M5,item_store,family_frozen_parameter_recalibrated,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-1258.4544895076742,-0.011428571428571344,9.781859400714865,0.03864381189718935,-10.341853858821864
M5,item_store,family_frozen_parameter_recalibrated,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-1262.0408961168523,-0.010357142857142732,9.820865012412995,0.038891576287568785,-10.583953362809225
M5,item_store,fully_in_domain_tuned,ensemble_diversification,simple_ensemble,accuracy_first,-1262.0408961168523,-0.010357142857142732,9.820865012412995,0.038891576287568785,-10.583953362809225
M5,item_store,fully_in_domain_tuned,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,0.2616562500006694,-0.00035714285714283367,-0.016874999999998863,0.0,0.022500000000007958
M5,item_store,fully_in_domain_tuned,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,3.586406609178084,-0.001071428571428612,-0.03900561169812988,-0.00024776439037943465,0.24209950398736169
M5,item_store,fully_in_domain_tuned,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-1258.4544895076742,-0.011428571428571344,9.781859400714865,0.03864381189718935,-10.341853858821864
M5,item_store,fully_in_domain_tuned,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-1188.8513721440213,-0.012499999999999956,10.05482170120439,0.03817248019793246,-9.948723227231767
M5,item_store,strict_frozen,ensemble_diversification,simple_ensemble,accuracy_first,-1262.0408961168523,-0.010357142857142732,9.820865012412995,0.038891576287568785,-10.583953362809225
M5,item_store,strict_frozen,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,0.2757195122430858,-0.00035714285714283367,-0.02087799788979794,-3.050956460581844e-06,0.022500000000007958
M5,item_store,strict_frozen,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.6944996073998482,-0.0014285714285715567,-0.24854759554899886,-0.0007754342983608553,0.07665174607141978
M5,item_store,strict_frozen,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-1261.3463965094525,-0.011785714285714288,9.572317416863996,0.03811614198920793,-10.507301616737806
M5,item_store,strict_frozen,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-1262.0408961168523,-0.010357142857142732,9.820865012412995,0.038891576287568785,-10.583953362809225
Walmart,department_store,family_frozen_parameter_recalibrated,ensemble_diversification,simple_ensemble,accuracy_first,-35355.581776673556,-0.016858974358974377,-2784.945316853322,-0.012059926630676121,814.0353021918527
