dataset,unit_id,mechanism,level,strength,simple_reference_cost,approximate_dp_cost,paired_difference,percentage_difference,execution_path_difference,adverse_unit
Walmart,store_030__dept_025,lead_time,medium,2.0,2383.9488125000007,2419.843168742029,35.89435624202815,1.505668077008182,True,True
Walmart,store_030__dept_025,lead_time,high,7.0,3531.221932692309,2610.3865882256937,-920.8353444666154,-26.07696038420737,True,False
Walmart,store_030__dept_025,switching_cost,low,0.0,2383.9488125000007,2419.443168742028,35.49435624202715,1.4888891932543178,True,True
Walmart,store_030__dept_025,switching_cost,medium,0.05,2383.9488125000007,2419.843168742029,35.89435624202815,1.505668077008182,True,True
Walmart,store_030__dept_025,switching_cost,high,0.2,2383.9488125000007,2421.0431687420282,37.094356242027516,1.5560047282696219,True,True
Walmart,store_031__dept_038,lead_time,low,0.0,212007.40435820544,194792.33262157883,-17215.071736626618,-8.120033254848126,True,False
Walmart,store_031__dept_038,lead_time,medium,2.0,610861.5359272852,517719.0346026479,-93142.50132463733,-15.247727323876664,True,False
Walmart,store_031__dept_038,lead_time,high,7.0,2910208.915645809,2774527.741174448,-135681.1744713611,-4.6622486015321645,True,False
Walmart,store_031__dept_038,switching_cost,low,0.0,610861.5359272852,517718.5846026479,-93142.95132463728,-15.247800990325356,True,False
Walmart,store_031__dept_038,switching_cost,medium,0.05,610861.5359272852,517719.0346026479,-93142.50132463733,-15.247727323876664,True,False
Walmart,store_031__dept_038,switching_cost,high,0.2,610861.5359272852,517720.38460264774,-93141.15132463747,-15.247506324530582,True,False
Walmart,store_031__dept_090,lead_time,low,0.0,244881.2781973219,198157.74704301276,-46723.53115430914,-19.080074842087345,True,False
Walmart,store_031__dept_090,lead_time,medium,2.0,535172.3759626696,429862.9992237102,-105309.3767389594,-19.67765554967754,True,False
Walmart,store_031__dept_090,lead_time,high,7.0,2771013.8275442105,2588201.412060692,-182812.4154835185,-6.597311556742919,True,False
Walmart,store_031__dept_090,switching_cost,low,0.0,535172.3759626696,429862.6492237103,-105309.72673895932,-19.677720949166684,True,False
Walmart,store_031__dept_090,switching_cost,medium,0.05,535172.3759626696,429862.9992237102,-105309.3767389594,-19.67765554967754,True,False
Walmart,store_031__dept_090,switching_cost,high,0.2,535172.3759626696,429864.04922371026,-105308.32673895935,-19.67745935121005,True,False
Walmart,store_031__dept_092,lead_time,low,0.0,569772.607038675,442211.82008134143,-127560.78695733356,-22.388016795036094,True,False
Walmart,store_031__dept_092,lead_time,medium,2.0,1182139.047473452,840939.0093264548,-341200.0381469972,-28.8629361221282,True,False
Walmart,store_031__dept_092,lead_time,high,7.0,4611648.027828668,3996878.656049489,-614769.3717791792,-13.33079558694411,True,False
Walmart,store_031__dept_092,switching_cost,low,0.0,1182139.047473452,840938.5593264548,-341200.4881469973,-28.86297418871614,True,False
Walmart,store_031__dept_092,switching_cost,medium,0.05,1182139.047473452,840939.0093264548,-341200.0381469972,-28.8629361221282,True,False
Walmart,store_031__dept_092,switching_cost,high,0.2,1182139.047473452,840940.3593264547,-341198.68814699736,-28.862821922364414,True,False
Walmart,store_031__dept_095,lead_time,low,0.0,336354.37887777784,294252.5858087423,-42101.79306903551,-12.517093789444667,True,False
Walmart,store_031__dept_095,lead_time,medium,2.0,646061.134257552,564366.1527263224,-81694.98153122957,-12.645085302200194,True,False
Walmart,store_031__dept_095,lead_time,high,7.0,3392419.576839229,3536203.6000066386,143784.02316740947,4.238391505256414,True,True
Walmart,store_031__dept_095,switching_cost,low,0.0,646061.134257552,564365.8027263223,-81695.33153122966,-12.64513947663997,True,False
Walmart,store_031__dept_095,switching_cost,medium,0.05,646061.134257552,564366.1527263224,-81694.98153122957,-12.645085302200194,True,False
Walmart,store_031__dept_095,switching_cost,high,0.2,646061.134257552,564367.2027263225,-81693.93153122952,-12.644922778880902,True,False
Walmart,store_031__dept_097,lead_time,low,0.0,121181.87482102007,78644.0452682848,-42537.829552735275,-35.10246859570513,True,False
Walmart,store_031__dept_097,lead_time,medium,2.0,240520.64988459984,170123.53368842852,-70397.11619617132,-29.268637112841404,True,False
Walmart,store_031__dept_097,lead_time,high,7.0,997949.9947630888,901044.9430302681,-96905.05173282069,-9.710411567848722,True,False
Walmart,store_031__dept_097,switching_cost,low,0.0,240520.64988459984,170123.33368842848,-70397.31619617136,-29.268720265784875,True,False
Walmart,store_031__dept_097,switching_cost,medium,0.05,240520.64988459984,170123.53368842852,-70397.11619617132,-29.268637112841404,True,False
Walmart,store_031__dept_097,switching_cost,high,0.2,240520.64988459984,170124.1336884285,-70396.51619617135,-29.268387654011043,True,False
Walmart,store_032__dept_092,lead_time,low,0.0,462473.5232362388,468433.5532779573,5960.030041718506,1.2887289200930165,True,True
Walmart,store_032__dept_092,lead_time,medium,2.0,1182768.979030228,1158970.444872343,-23798.534157885006,-2.0121033422264607,True,False
Walmart,store_032__dept_092,lead_time,high,7.0,4239164.242805872,3423098.2897184733,-816065.9530873988,-19.250633057502167,True,False
Walmart,store_032__dept_092,switching_cost,low,0.0,1182768.979030228,1158970.0448723428,-23798.934157885145,-2.0121371611722765,True,False
Walmart,store_032__dept_092,switching_cost,medium,0.05,1182768.979030228,1158970.444872343,-23798.534157885006,-2.0121033422264607,True,False
Walmart,store_032__dept_092,switching_cost,high,0.2,1182768.979030228,1158971.644872343,-23797.334157885052,-2.0120018853890542,True,False
Walmart,store_032__dept_095,lead_time,low,0.0,261843.25116566572,226921.91031187942,-34921.3408537863,-13.336735126196514,True,False
Walmart,store_032__dept_095,lead_time,medium,2.0,716031.5970587421,562944.2514739602,-153087.34558478184,-21.379970690346894,True,False
Walmart,store_032__dept_095,lead_time,high,7.0,2869726.0919610034,2703017.6864768146,-166708.4054841888,-5.809209664685106,True,False
